Datum,Gericht,Notiz
24.08.2026,Spaghetti Bolognese,
25.08.2026,"Reis, Ofengemüse und Ei",vegetarisch
26.08.2026,Hähnchenpfanne mit Brokkoli,
27.08.2026,Linsencurry mit Naan,vegan
28.08.2026,Pizza,Teig morgens ansetzen
29.08.2026,Rinderrouladen mit Klößen,dauert 3 Std
30.08.2026,Kürbissuppe,Reste vom Samstag
31.08.2026,Nudelauflauf,
01.09.2026,Chili sin Carne,vegan
02.09.2026,Fischstäbchen mit Kartoffelsalat,
03.09.2026,Gemüselasagne,vegetarisch
04.09.2026,Burger,Buns kaufen
05.09.2026,Schweinebraten mit Knödeln,
06.09.2026,Flammkuchen,
